4647781453016962|05|30|123
4647783878820960|09|27|559
4647783124409600|08|29|987
4647784222953143|08|28|909
4647789141315282|10|25|234
4647789718582801|07|26|977
4647786727924578|03|29|431
4647784812259265|05|30|370
4647788371021719|09|27|828
4647783838272245|08|29|458
4647789265068519|01|26|050
4647789354724998|01|27|830
4647788117164179|10|28|718
4647781241501150|09|29|341
4647783549112201|01|29|850
4647781264305364|11|27|541
4647786606472186|10|26|473
4647782314219886|06|30|645
4647782632447334|03|30|577
4647785832993437|08|29|323
4647786210574914|06|26|757
4647784894336759|03|27|444
4647789388851445|09|29|271
4647780702239904|07|30|905
4647780376667588|07|26|168
4647789515823291|03|27|563
4647780291072039|09|25|281
4647780964251985|04|27|867
4647787110799940|09|26|351
4647786551621829|08|28|322
4647787695905862|10|28|240
4647783954614782|04|26|854
4647781864278888|03|30|189
4647784020688545|08|26|879
4647780339195552|03|30|674
4647783520410749|03|30|998
4647788924368609|08|29|945
4647783156488597|12|25|049
4647780993642493|11|27|457
4647784968030932|10|29|969
4647784831355169|05|29|976
4647789830750286|01|27|489
4647789128476818|07|27|525
4647781058044559|12|25|078
4647787132798862|07|26|935
4647784319174371|12|28|340
4647787114134961|10|29|977
4647783176991729|05|28|505
4647786030280841|01|28|323
4647786065365889|02|27|237
4647786690825638|10|25|366
4647780307370799|08|29|700
4647782750479887|11|27|129
4647785375252696|09|28|847
4647781323340824|07|26|089
4647782170261642|05|28|490
4647787905500487|10|26|266
4647788847469351|04|30|401
4647788941965338|07|28|992
4647788727364664|02|26|112
4647785310391989|09|25|383
4647781937921480|02|29|441
4647783236617165|10|27|027
4647787874304515|12|27|707
4647786234573819|07|30|980
4647784953264579|07|28|040
4647788285221454|05|26|062
4647789156439308|09|28|335
4647784438889289|06|29|354
4647786009199204|06|30|649
4647780632227169|02|29|929
4647786458440885|07|26|697
4647785749840754|05|26|361
4647788979533602|11|27|698
4647785416136023|03|29|618
4647780147276925|10|25|357
4647787890261145|07|30|181
4647784547203745|05|29|251
4647787726823480|05|29|086
4647784785818550|08|25|525
4647786618454172|10|26|923
4647784541118683|07|30|772
4647783580069401|10|26|491
4647785540145429|10|27|253
4647785560598929|02|28|728
4647781001638135|06|30|614
4647784457331866|05|27|640
4647781459957284|08|28|020
4647784069949345|11|29|206
4647787842912167|07|29|125
4647788552455603|12|25|061
4647786501710334|05|29|467
4647784690304878|09|28|401
4647780130669318|02|30|479
4647788374795434|10|28|358
4647782414832554|09|26|579
4647780303678625|09|28|971
4647783662097049|07|28|369
4647781996466955|03|27|115
4647789809582165|11|27|256
4647788646052655|06|28|264
4647788929409283|10|26|751
4647784998334296|10|29|166
4647782987028697|01|28|559
4647784558602686|06|27|767
4647789884729830|07|28|534
4647782745491385|01|29|638
4647789878713493|08|25|316
4647784635899297|08|25|248
4647782158124994|10|28|963
4647780692672833|01|29|756
4647780661718187|10|26|867
4647782614081275|01|27|075
4647789356137611|03|28|281
4647785746577979|03|27|280
4647786614530603|05|30|172
4647789341599735|04|30|864
4647780355441864|04|26|762
4647789378175243|10|29|761
4647780369907231|01|28|491
4647788993478073|02|27|614
4647780221546656|05|30|642
4647782143112328|11|29|951
4647785006181843|12|25|749
4647780789774823|08|25|458
4647786685941077|03|28|129
4647780524064324|11|28|717
4647789797252086|05|26|474
4647781122059864|05|26|800
4647783178308906|11|28|407
4647781291373963|02|30|853
4647786823923623|12|27|732
4647783294912532|12|28|160
4647782452505955|04|27|293
4647788849190674|06|29|337
4647786815128009|01|27|190
4647782503417713|02|30|169
4647788937721380|12|27|378
4647781676962257|01|26|172
4647783154287850|09|26|688
4647780844788040|04|29|526
4647787719503024|03|28|534
4647788655554534|06|30|706
4647788733409230|03|30|886
4647787184903956|08|29|416
4647781365923511|04|29|639
4647782222826574|07|30|313
4647780009052661|03|28|663
4647784358124725|05|30|654
4647789221903304|10|26|076
4647785504922995|06|30|197
4647788040367782|08|28|006
4647783401049277|06|30|637
4647786177778458|07|29|758
4647782644463527|10|26|783
4647784285360343|02|27|540
4647789624693304|01|28|936
4647781105091751|07|27|031
4647782997691922|05|27|701
4647784180891061|06|27|485
4647787176119850|11|25|292
4647785703586922|03|26|622
4647784507316099|01|29|721
4647789623427589|01|27|786
4647785961161145|07|26|663
4647789058340463|11|27|790
4647785248242718|09|25|586
4647786120154864|04|30|107
4647788004222940|12|28|080
4647783357975053|12|27|208
4647781830037400|11|27|037
4647782020092692|04|27|818
4647783687801474|10|25|675
4647782048639862|11|25|716
4647789503843772|02|28|832
4647782315194088|09|28|910
4647789231859793|10|27|517
4647785781461238|05|26|041
4647782132759071|06|28|953
4647783375061639|06|29|876
4647787664351189|12|28|637
4647786266357958|12|29|237
4647782452742780|01|27|806
4647782448612683|03|28|577
4647789304696619|03|27|159
4647781274165642|01|26|832
4647783925832216|09|25|768
4647780294740947|03|28|957
4647782328694215|01|30|641
4647788577303374|12|27|980
4647782674372523|03|29|784
4647786281453576|06|28|292
4647788393026969|01|30|884
4647780486640004|12|25|837
4647783788415182|08|28|358
4647781537284610|11|25|481
4647783598464529|07|26|627
4647783250211085|09|25|068
4647788461433170|04|30|428
4647780982868984|01|28|690
4647780357643137|07|26|211
4647781996804981|03|26|581
4647783289518526|11|25|174
4647788813430643|09|26|818
4647780709533713|12|27|379
4647785550478934|11|25|405
4647786245995498|08|27|960
4647782378050409|06|29|629
4647786335420803|10|27|394
4647786523061864|04|26|629
4647787485498458|09|29|840
4647786983851739|09|27|142
4647785128996243|02|28|220
